52min;52max;czas;nazwa;kurs_biezacy;zmiana_procentowa;zmiana_kwotowa;kurs_odniesienia;kurs_otwarcia;kurs_min;kurs_max;wolumen;obrot;
3,50;8,00;18:05;SOPHARMA;0,00;---;---;4,00;0,00;0,00;0,00;0;0;
0,99;1,35;18:05;STALEXP;1,17;0,86;0,01;1,16;1,16;1,15;1,17;4 970;5.74008;
155,00;295,00;18:05;STALPROD;172,30;-0,35;-0,60;172,90;167,50;167,50;172,30;190;32.5442;
13,10;21,05;18:05;STALPROFI;14,10;-1,95;-0,28;14,38;14,10;14,10;14,10;150;2.115;
11,30;39,00;18:05;STAPORKOW;19,39;-0,62;-0,12;19,51;19,10;19,00;19,49;4 094;78.79668;
12,50;16,88;18:05;SUWARY;15,91;-0,56;-0,09;16,00;16,00;15,75;16,00;923;14.58063;
0,44;0,89;18:05;SWISSMED;0,57;0,00;0,00;0,57;0,56;0,56;0,57;40 604;22.97353;
10,84;23,50;18:05;SYGNITY;12,36;0,24;0,03;12,33;12,35;12,35;12,37;8 077;99.78189;
3,92;6,78;18:05;SYNTHOS;5,59;0,00;0,00;5,59;5,59;5,40;5,59;510 258;2816.09575;
4,80;10,50;18:05;TALEX;5,00;-2,91;-0,15;5,15;5,00;5,00;5,00;3 690;18.45;
176,00;185,00;18:05;TATRY;182,00;1,11;2,00;180,00;182,00;182,00;182,00;72;13.104;
4,08;5,61;18:05;TAURONPE;4,35;2,35;0,10;4,25;4,25;4,24;4,35;1 648 009;7099.488;
6,60;11,91;18:05;TELL;8,99;-0,11;-0,01;9,00;8,99;8,80;8,99;3 552;31.47108;
11,41;18,50;18:05;TERESA;0,00;---;---;13,12;0,00;0,00;0,00;0;0;
2,67;8,80;18:05;TESGAS;3,26;5,16;0,16;3,10;3,11;3,11;3,26;15 475;49.54864;
1,13;2,88;18:05;TFONE;1,79;4,07;0,07;1,72;1,79;1,73;1,87;63 090;114.2719;
4,82;9,43;18:05;TIM;5,53;1,28;0,07;5,46;5,40;5,30;5,53;1 438;7.74152;
1,80;3,15;18:05;TOYA;0,00;---;---;2,46;0,00;0,00;0,00;0;0;
11,56;18,56;18:05;TPSA;11,94;1,44;0,17;11,77;11,80;11,74;11,95;2 558 020;30456.456;
0,62;1,53;18:05;TRAKCJA;0,68;0,00;0,00;0,68;0,70;0,68;0,70;481 676;329.1475;
5,43;12,00;18:05;TRANSPOL;0,00;---;---;5,50;0,00;0,00;0,00;0;0;
5,47;10,45;18:05;TRAVELPL;6,35;8,73;0,51;5,84;6,35;6,35;6,35;5;0.03175;
1,02;4,03;18:05;TRITON;1,26;-0,79;-0,01;1,27;1,26;1,26;1,26;6;0.00756;
1,86;5,00;18:05;TUP;2,25;1,35;0,03;2,22;2,22;2,21;2,25;2 838;6.30428;
5,90;12,40;18:05;TVN;7,72;0,00;0,00;7,72;7,72;7,65;7,79;605 454;4669.9435;
37,20;74,80;18:05;ULMA;42,00;3,96;1,60;40,40;40,40;40,40;42,00;309;12.76884;
3,56;6,39;18:05;UNIBEP;5,09;-2,12;-0,11;5,20;5,22;5,06;5,22;2 317;11.87877;
9,19;30,70;18:05;UNICREDIT;14,80;1,37;0,20;14,60;14,70;14,18;14,80;12 674;186.81727;
2,92;3,94;18:05;UNIMA;3,09;2,32;0,07;3,02;2,98;2,98;3,10;3 701;11.30057;
0,67;4,89;18:05;URSUS;3,40;1,49;0,05;3,35;3,36;3,32;3,48;142 987;487.88612;
0,99;2,24;18:05;VANTAGE;1,34;-0,74;-0,01;1,35;1,35;1,30;1,35;17 065;22.40957;
1,16;2,07;18:05;VARIANT;1,52;2,01;0,03;1,49;1,49;1,49;1,52;333;0.49765;
2,60;8,18;18:05;VINDEXUS;2,93;-2,98;-0,09;3,02;3,04;2,89;3,04;14 997;43.74811;
0,72;1,38;18:05;VISTULA;0,97;0,00;0,00;0,97;0,97;0,95;0,98;64 065;61.63323;
3,05;5,00;18:05;VOTUM;4,34;0,00;0,00;4,34;4,30;4,30;4,34;33;0.1423;
9,00;19,81;18:05;VOXEL;19,05;1,76;0,33;18,72;18,71;18,70;19,05;1 382;26.05249;
4,90;10,50;18:05;WADEX;9,87;0,00;0,00;9,87;9,86;9,86;9,93;526;5.19182;
